"username","article_count","editathon_code","editathon_description","last_submitted_date"
Yasasuru,255,asian-month-2017-si,Wikipedia Asian Month 2017 Sinhalese edition,2017-11-30 23:59:59+01
ThiênĐế98,242,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition,2017-11-30 23:59:59+01
Waraka Saki,152,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition,2017-11-30 23:59:59+01
Kieprongbuon812,121,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition,2017-11-29 13:06:07+01
খাঁ শুভেন্দু,111,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition,2017-11-29 10:45:23+01
Pierrewee,107,asian-month-2017-id,Wikipedia Asian Month 2017 Indonesian edition,2017-11-30 23:59:59+01
Tuga1143,106,asian-month-2017-pt,Wikipedia Asian Month 2017 Portugese edition,2017-11-30 23:59:59+01
Theodore Xu,105,asian-month-2017-zh,Wikipedia Asian Month 2017 Chinese edition,2017-11-30 23:59:59+01
Pratyya Ghosh,101,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition,2017-11-29 16:57:41+01
DanGong,93,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition,2017-11-26 11:43:41+01
Nandachuva,93,asian-month-2017-pt,Wikipedia Asian Month 2017 Portugese edition,2017-11-30 23:59:59+01
Cbyd,86,asian-month-2017-fr,Wikipedia Asian Month 2017 French edition,2017-11-30 23:59:59+01
Rochelimit,86,asian-month-2017-en,Wikipedia Asian Month 2017 English edition,2017-11-30 23:59:59+01
Qolcomaq,80,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition,2017-11-30 23:59:59+01
Malikaveedu,74,asian-month-2017-ml,Wikipedia Asian Month 2017 Malayalam edition,2017-11-30 23:59:59+01
Plank,73,asian-month-2017-es,Wikipedia Asian Month 2017 Spanish edition,2017-11-30 23:59:59+01
Hijiri88,71,asian-month-2017-en,Wikipedia Asian Month 2017 English edition,2017-11-28 13:02:48+01
Tsaag Valren,68,asian-month-2017-fr,Wikipedia Asian Month 2017 French edition,2017-11-30 23:59:59+01
Cha Rồng,65,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition,2017-11-23 11:24:05+01
Darthvader2,62,asian-month-2017-es,Wikipedia Asian Month 2017 Spanish edition,2017-11-28 20:41:30+01
Langladure,62,asian-month-2017-fr,Wikipedia Asian Month 2017 French edition,2017-11-30 23:59:59+01
Qweasdqwe,61,asian-month-2017-ru,Wikipedia Asian Month 2017 Russian edition,2017-11-30 23:59:59+01
Гүзәл Ситдиҡова,58,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition,2017-11-30 23:59:59+01
DariaShishkova,56,asian-month-2017-ru,Wikipedia Asian Month 2017 Russian edition,2017-11-30 23:59:59+01
DariaShishkova,56,asian-month-2017-ru-thai,Wikipedia Asian Month 2017 Russian edition. Russia-Thailand subcontest,2017-11-30 23:59:59+01
