user_count,article_count,editathon_code,editathon_description,url
33,785,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition,https://vi.wikipedia.org
37,661,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition,https://bn.wikipedia.org
83,584,asian-month-2017-en,Wikipedia Asian Month 2017 English edition,https://en.wikipedia.org
28,414,asian-month-2017-fr,Wikipedia Asian Month 2017 French edition,https://fr.wikipedia.org
39,413,asian-month-2017-id,Wikipedia Asian Month 2017 Indonesian edition,https://id.wikipedia.org
44,387,asian-month-2017-zh,Wikipedia Asian Month 2017 Chinese edition,https://zh.wikipedia.org
20,385,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition,https://az.wikipedia.org
44,378,asian-month-2017-de,Wikipedia Asian Month 2017 German edition,https://de.wikipedia.org
34,369,asian-month-2017-ru,Wikipedia Asian Month 2017 Russian edition,https://ru.wikipedia.org
20,365,asian-month-2017-pt,Wikipedia Asian Month 2017 Portugese edition,https://pt.wikipedia.org
38,353,asian-month-2017-es,Wikipedia Asian Month 2017 Spanish edition,https://es.wikipedia.org
3,262,asian-month-2017-si,Wikipedia Asian Month 2017 Sinhalese edition,https://si.wikipedia.org
27,200,asian-month-2017-ml,Wikipedia Asian Month 2017 Malayalam edition,https://ml.wikipedia.org
25,166,asian-month-2017-uk,Wikipedia Asian Month 2017 Ukrainian edition,https://uk.wikipedia.org
22,157,asian-month-2017-ja,Wikipedia Asian Month 2017 Japanese edition,https://ja.wikipedia.org
20,146,asian-month-2017-ca,Wikipedia Asian Month 2017 Catalan edition,https://ca.wikipedia.org
14,132,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition,https://ba.wikipedia.org
6,110,asian-month-2017-ru-thai,Wikipedia Asian Month 2017 Russian edition. Russia-Thailand subcontest,https://ru-thai.wikipedia.org
8,97,asian-month-2017-ka,Wikipedia Asian Month 2017 Georgian edition,https://ka.wikipedia.org
10,96,asian-month-2017-hi,Wikipedia Asian Month 2017 Hindi edition,https://hi.wikipedia.org
14,87,asian-month-2017-mai,Wikipedia Asian Month 2017 Maithili edition,https://mai.wikipedia.org
10,84,asian-month-2017-ta,Wikipedia Asian Month 2017 Tamil edition,https://ta.wikipedia.org
8,78,asian-month-2017-bg,Wikipedia Asian Month 2017 Bulgarian edition,https://bg.wikipedia.org
7,70,asian-month-2017-th,Wikipedia Asian Month 2017 Thai edition,https://th.wikipedia.org
5,64,asian-month-2017-da,Wikipedia Asian Month 2017 Danish edition,https://da.wikipedia.org
4,61,asian-month-2017-zh-thai,Wikipedia Asian Month 2017 Chinese edition. Russia-Thailand subcontest,https://zh-thai.wikipedia.org
5,54,asian-month-2017-or,Wikipedia Asian Month 2017 Odia edition,https://or.wikipedia.org
9,52,asian-month-2017-ne,Wikipedia Asian Month 2017 Nepali edition,https://ne.wikipedia.org
4,51,asian-month-2017-pa,Wikivoyage Asian Month 2017 Punjabi edition,https://pa.wikipedia.org
8,45,asian-month-2017-ur,Wikipedia Asian Month 2017 Urdu edition,https://ur.wikipedia.org
6,44,asian-month-2017-sv,Wikipedia Asian Month 2017 Swedish edition,https://sv.wikipedia.org
7,39,asian-month-2017-he,Wikipedia Asian Month 2017 Hebrew edition,https://he.wikipedia.org
5,34,asian-month-2017-mr,Wikipedia Asian Month 2017 Marathi edition,https://mr.wikipedia.org
4,31,asian-month-2017-th-thai,Wikipedia Asian Month 2017 Thai edition. Russia-Thailand subcontest,https://th-thai.wikipedia.org
3,22,asian-month-2017-jv,Wikipedia Asian Month 2017 Java edition,https://jv.wikipedia.org
3,22,asian-month-2017-min,Wikipedia Asian Month 2017 Minangkabau edition,https://min.wikipedia.org
2,21,asian-month-2017-sq,Wikipedia Asian Month 2017 Albanian edition,https://sq.wikipedia.org
4,13,asian-month-2017-lv,Wikipedia Asian Month 2017 Latvian edition,https://lv.wikipedia.org
5,11,asian-month-2017-zh-classical,Wikipedia Asian Month 2017 Classical Chinese edition,https://zh-classical.wikipedia.org
3,9,asian-month-2017-tt,Wikipedia Asian Month 2017 Tatar edition,https://tt.wikipedia.org
1,9,asian-month-2017-hr,Wikipedia Asian Month 2017 Croatian edition,https://hr.wikipedia.org
1,8,asian-month-2017-sd,Wikipedia Asian Month 2017 Sindhi edition,https://sd.wikipedia.org
2,8,asian-month-2017-simple,Wikipedia Asian Month 2017 Simple English edition,https://simple.wikipedia.org
2,7,asian-month-2017-te,Wikipedia Asian Month 2017 Telugu edition,https://te.wikipedia.org
3,7,asian-month-2017-en-wir,Wikipedia Asian Month 2017 English edition. Women in Red,https://en-wir.wikipedia.org
4,7,asian-month-2017-be,Wikipedia Asian Month 2017 Belarusian edition,https://be.wikipedia.org
1,5,asian-month-2017-kn,Wikipedia Asian Month 2017 Kannada edition,https://kn.wikipedia.org
3,5,asian-month-2017-en-thai,Wikipedia Asian Month 2017 English edition. Russia-Thailand subcontest,https://en-thai.wikipedia.org
2,5,asian-month-2017-bs,Wikipedia Asian Month 2017 Bosnian edition,https://bs.wikipedia.org
3,4,asian-month-2017-sah,Wikivoyage Asian Month 2017 Saha edition,https://sah.wikipedia.org
1,4,asian-month-2017-fo,Wikipedia Asian Month 2017 Faroese edition,https://fo.wikipedia.org
