"count","date_added","code","description"
1,2017-11-01,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition
7,2017-11-01,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition
1,2017-11-01,asian-month-2017-be,Wikipedia Asian Month 2017 Belarusian edition
2,2017-11-01,asian-month-2017-bg,Wikipedia Asian Month 2017 Bulgarian edition
2,2017-11-01,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition
8,2017-11-01,asian-month-2017-de,Wikipedia Asian Month 2017 German edition
20,2017-11-01,asian-month-2017-en,Wikipedia Asian Month 2017 English edition
9,2017-11-01,asian-month-2017-id,Wikipedia Asian Month 2017 Indonesian edition
2,2017-11-01,asian-month-2017-mai,Wikipedia Asian Month 2017 Maithili edition
4,2017-11-01,asian-month-2017-ml,Wikipedia Asian Month 2017 Malayalam edition
2,2017-11-01,asian-month-2017-or,Wikipedia Asian Month 2017 Odia edition
1,2017-11-01,asian-month-2017-pa,Wikivoyage Asian Month 2017 Punjabi edition
9,2017-11-01,asian-month-2017-pt,Wikipedia Asian Month 2017 Portugese edition
7,2017-11-01,asian-month-2017-ru,Wikipedia Asian Month 2017 Russian edition
54,2017-11-01,asian-month-2017-si,Wikipedia Asian Month 2017 Sinhalese edition
1,2017-11-01,asian-month-2017-sq,Wikipedia Asian Month 2017 Albanian edition
8,2017-11-01,asian-month-2017-sv,Wikipedia Asian Month 2017 Swedish edition
34,2017-11-01,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition
6,2017-11-01,asian-month-2017-zh,Wikipedia Asian Month 2017 Chinese edition
5,2017-11-02,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition
6,2017-11-02,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition
1,2017-11-02,asian-month-2017-bg,Wikipedia Asian Month 2017 Bulgarian edition
11,2017-11-02,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition
6,2017-11-02,asian-month-2017-de,Wikipedia Asian Month 2017 German edition
19,2017-11-02,asian-month-2017-en,Wikipedia Asian Month 2017 English edition
8,2017-11-02,asian-month-2017-id,Wikipedia Asian Month 2017 Indonesian edition
2,2017-11-02,asian-month-2017-ja,Wikipedia Asian Month 2017 Japanese edition
1,2017-11-02,asian-month-2017-ka,Wikipedia Asian Month 2017 Georgian edition
5,2017-11-02,asian-month-2017-mai,Wikipedia Asian Month 2017 Maithili edition
3,2017-11-02,asian-month-2017-min,Wikipedia Asian Month 2017 Minangkabau edition
5,2017-11-02,asian-month-2017-ml,Wikipedia Asian Month 2017 Malayalam edition
1,2017-11-02,asian-month-2017-mr,Wikipedia Asian Month 2017 Marathi edition
3,2017-11-02,asian-month-2017-ne,Wikipedia Asian Month 2017 Nepali edition
