"count","week_added","code","description"
30,1,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition
23,1,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition
1,1,asian-month-2017-be,Wikipedia Asian Month 2017 Belarusian edition
10,1,asian-month-2017-bg,Wikipedia Asian Month 2017 Bulgarian edition
99,1,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition
12,1,asian-month-2017-ca,Wikipedia Asian Month 2017 Catalan edition
3,1,asian-month-2017-da,Wikipedia Asian Month 2017 Danish edition
52,1,asian-month-2017-de,Wikipedia Asian Month 2017 German edition
172,1,asian-month-2017-en,Wikipedia Asian Month 2017 English edition
6,1,asian-month-2017-es,Wikipedia Asian Month 2017 Spanish edition
33,1,asian-month-2017-fr,Wikipedia Asian Month 2017 French edition
7,1,asian-month-2017-he,Wikipedia Asian Month 2017 Hebrew edition
9,1,asian-month-2017-hi,Wikipedia Asian Month 2017 Hindi edition
64,1,asian-month-2017-id,Wikipedia Asian Month 2017 Indonesian edition
20,1,asian-month-2017-ja,Wikipedia Asian Month 2017 Japanese edition
7,1,asian-month-2017-jv,Wikipedia Asian Month 2017 Java edition
10,1,asian-month-2017-ka,Wikipedia Asian Month 2017 Georgian edition
1,1,asian-month-2017-kn,Wikipedia Asian Month 2017 Kannada edition
73,1,asian-month-2017-mai,Wikipedia Asian Month 2017 Maithili edition
9,1,asian-month-2017-min,Wikipedia Asian Month 2017 Minangkabau edition
35,1,asian-month-2017-ml,Wikipedia Asian Month 2017 Malayalam edition
5,1,asian-month-2017-mr,Wikipedia Asian Month 2017 Marathi edition
9,1,asian-month-2017-ne,Wikipedia Asian Month 2017 Nepali edition
18,1,asian-month-2017-or,Wikipedia Asian Month 2017 Odia edition
16,1,asian-month-2017-pa,Wikivoyage Asian Month 2017 Punjabi edition
60,1,asian-month-2017-pt,Wikipedia Asian Month 2017 Portugese edition
53,1,asian-month-2017-ru,Wikipedia Asian Month 2017 Russian edition
16,1,asian-month-2017-ru-thai,Wikipedia Asian Month 2017 Russian edition. Russia-Thailand subcontest
1,1,asian-month-2017-sah,Wikivoyage Asian Month 2017 Saha edition
104,1,asian-month-2017-si,Wikipedia Asian Month 2017 Sinhalese edition
15,1,asian-month-2017-sq,Wikipedia Asian Month 2017 Albanian edition
28,1,asian-month-2017-sv,Wikipedia Asian Month 2017 Swedish edition
2,1,asian-month-2017-te,Wikipedia Asian Month 2017 Telugu edition
10,1,asian-month-2017-th,Wikipedia Asian Month 2017 Thai edition
32,1,asian-month-2017-uk,Wikipedia Asian Month 2017 Ukrainian edition
183,1,asian-month-2017-vi,Wikipedia Asian Month 2017 Vietnamese edition
43,1,asian-month-2017-zh,Wikipedia Asian Month 2017 Chinese edition
36,2,asian-month-2017-az,Wikipedia Asian Month 2017 Azerbaijani edition
31,2,asian-month-2017-ba,Wikipedia Asian Month 2017 Bashkir edition
1,2,asian-month-2017-be,Wikipedia Asian Month 2017 Belarusian edition
8,2,asian-month-2017-bg,Wikipedia Asian Month 2017 Bulgarian edition
153,2,asian-month-2017-bn,Wikipedia Asian Month 2017 Bengali edition
3,2,asian-month-2017-bs,Wikipedia Asian Month 2017 Bosnian edition
